Date,Open,High,Low,Close,Volume,ATR,FastSMA,SlowSMA,Bias,GeoLevel,PhiLevel,PriceConfluence,TimeConfluence
2024-04-09 00:00:00-04:00,121.51,121.84,119.68,121.06,9042200,1.2554,121.08,119.92,BULLISH,123.83,195.88,1,2
2024-04-10 00:00:00-04:00,119.56,120.4,119.15,120.03,14119500,1.2098,120.88,120.05,BULLISH,122.78,194.2,1,2
2024-04-11 00:00:00-04:00,120.09,120.66,119.17,120.16,8228700,1.2367,120.69,120.16,BULLISH,122.92,194.42,1,2
2024-04-12 00:00:00-04:00,119.41,119.83,118.37,118.88,11604300,1.2775,120.47,120.2,BULLISH,121.62,192.34,1,1
2024-04-15 00:00:00-04:00,120.5,120.68,117.67,118.03,10374500,1.4267,120.21,120.21,BEARISH,120.76,190.96,1,1
2024-04-16 00:00:00-04:00,117.99,118.32,117.15,117.75,11046200,1.4523,119.86,120.22,BEARISH,120.48,190.53,2,2
2024-04-17 00:00:00-04:00,118.41,118.44,116.42,117.15,11084200,1.5089,119.55,120.18,BEARISH,119.87,189.54,2,2
2024-04-18 00:00:00-04:00,117.71,118.19,116.56,116.74,9195800,1.5856,119.02,120.08,BEARISH,119.46,188.88,1,2
2024-04-19 00:00:00-04:00,116.99,117.64,116.24,116.53,10832100,1.5994,118.48,119.9,BEARISH,119.24,188.54,2,1
2024-04-22 00:00:00-04:00,117.23,118.19,116.68,117.41,10484900,1.6554,118.07,119.7,BEARISH,120.13,189.96,2,1
2024-04-23 00:00:00-04:00,118.24,119.21,118.06,119.04,9870000,1.6623,117.96,119.6,BEARISH,121.78,192.61,1,2
2024-04-24 00:00:00-04:00,118.93,119.15,117.11,118.09,11063800,1.6139,117.73,119.49,BEARISH,120.83,191.07,1,2
2024-04-25 00:00:00-04:00,117.44,118.73,116.65,118.45,10321200,1.6443,117.69,119.43,BEARISH,121.19,191.65,1,2
2024-04-26 00:00:00-04:00,118.15,119.0,118.13,118.64,6958100,1.6582,117.76,119.27,BEARISH,121.38,191.97,1,1
2024-04-29 00:00:00-04:00,118.89,119.54,118.85,119.44,6339800,1.5538,117.94,119.16,BEARISH,122.19,193.25,1,1
2024-04-30 00:00:00-04:00,119.26,119.44,117.49,117.54,15475900,1.6036,117.99,119.0,BEARISH,120.27,190.18,2,2
2024-05-01 00:00:00-04:00,117.36,118.83,116.96,117.25,15569500,1.6305,118.04,118.85,BEARISH,119.97,189.71,2,2
2024-05-02 00:00:00-04:00,117.81,118.16,116.61,117.93,11999600,1.6367,118.2,118.71,BEARISH,120.66,190.81,2,2
2024-05-03 00:00:00-04:00,119.04,119.18,118.2,118.75,9068500,1.4917,118.35,118.66,BEARISH,121.49,192.14,1,1
2024-05-06 00:00:00-04:00,119.53,120.05,119.43,119.95,7157300,1.453,118.45,118.58,BEARISH,122.7,194.08,1,1
2024-05-07 00:00:00-04:00,120.17,120.63,119.97,120.28,5244200,1.3556,118.69,118.53,BULLISH,123.04,194.61,2,2
2024-05-08 00:00:00-04:00,119.56,120.44,119.54,120.28,5062500,1.3037,118.9,118.49,BULLISH,123.04,194.61,1,2
2024-05-09 00:00:00-04:00,120.51,121.48,120.38,121.48,6682000,1.2823,119.21,118.56,BULLISH,124.25,196.55,3,2
2024-05-10 00:00:00-04:00,122.01,122.09,121.33,121.57,6038500,1.2284,119.45,118.63,BULLISH,124.34,196.69,2,1
2024-05-13 00:00:00-04:00,121.84,121.97,120.99,121.05,5946900,1.2174,119.84,118.73,BULLISH,123.82,195.86,1,1
2024-05-14 00:00:00-04:00,121.29,121.5,120.76,121.02,5105700,1.1241,120.26,118.87,BULLISH,123.79,195.82,1,2
2024-05-15 00:00:00-04:00,121.66,121.9,121.45,121.82,8404100,1.008,120.69,119.07,BULLISH,124.59,197.1,3,2
2024-05-16 00:00:00-04:00,121.6,121.84,121.04,121.09,7135900,1.0025,120.95,119.25,BULLISH,123.86,195.93,1,2
2024-05-17 00:00:00-04:00,121.19,121.37,120.63,121.23,5714100,1.006,121.09,119.47,BULLISH,124.0,196.15,2,1
2024-05-20 00:00:00-04:00,121.26,121.9,121.14,121.46,4337600,0.9217,121.22,119.7,BULLISH,124.23,196.52,2,1
2024-05-21 00:00:00-04:00,121.24,121.26,120.75,121.06,6010000,0.8242,121.31,119.88,BULLISH,123.83,195.88,1,2
2024-05-22 00:00:00-04:00,120.88,121.52,120.55,121.21,7910500,0.7828,121.28,119.98,BULLISH,123.98,196.11,2,2
2024-05-23 00:00:00-04:00,121.5,121.57,119.55,119.78,9078200,0.8567,121.08,120.06,BULLISH,122.53,193.8,1,2
2024-05-24 00:00:00-04:00,120.23,120.65,119.74,120.39,7556800,0.8774,121.01,120.15,BULLISH,123.14,194.78,1,1
2024-05-28 00:00:00-04:00,120.34,120.34,118.52,118.92,8525400,0.9604,120.77,120.17,BULLISH,121.66,192.4,1,2
2024-05-29 00:00:00-04:00,117.91,118.0,117.14,117.23,16725400,0.9576,120.26,120.06,BULLISH,119.95,189.68,1,2
2024-05-30 00:00:00-04:00,117.39,118.12,117.36,118.04,7816300,0.9334,119.92,120.08,BEARISH,120.77,190.98,2,2
2024-05-31 00:00:00-04:00,118.32,119.51,117.36,119.47,9703500,1.0336,119.73,120.19,BEARISH,122.21,193.3,3,1
2024-06-03 00:00:00-04:00,119.85,119.9,116.91,118.01,15241000,1.1766,119.34,120.19,BEARISH,120.74,190.93,2,1
2024-06-04 00:00:00-04:00,117.76,118.23,117.05,117.72,10061500,1.2084,118.97,120.14,BEARISH,120.44,190.46,1,2
2024-06-05 00:00:00-04:00,118.16,118.92,117.46,118.91,8666000,1.2802,118.72,120.09,BEARISH,121.65,192.39,1,2
2024-06-06 00:00:00-04:00,118.77,119.06,117.74,118.2,6523900,1.3182,118.54,120.0,BEARISH,120.93,191.25,1,2
2024-06-07 00:00:00-04:00,117.9,119.11,117.6,118.33,7036200,1.3728,118.31,119.9,BEARISH,121.06,191.45,2,1
2024-06-10 00:00:00-04:00,118.15,118.86,118.09,118.69,6642600,1.3728,118.29,119.77,BEARISH,121.43,192.04,1,1
2024-06-11 00:00:00-04:00,118.05,118.17,117.23,118.02,11217000,1.4039,118.37,119.6,BEARISH,120.75,190.95,2,2
2024-06-12 00:00:00-04:00,119.11,119.83,118.62,119.14,11106700,1.4219,118.5,119.51,BEARISH,121.88,192.76,1,2
2024-06-13 00:00:00-04:00,118.97,119.04,117.37,118.37,8056100,1.3977,118.37,119.38,BEARISH,121.11,191.53,1,2
2024-06-14 00:00:00-04:00,117.36,117.36,115.74,117.18,15315800,1.4481,118.28,119.16,BEARISH,119.91,189.6,2,1
2024-06-17 00:00:00-04:00,116.78,118.67,116.59,118.48,12522100,1.4668,118.37,119.04,BEARISH,121.22,191.7,1,1
2024-06-18 00:00:00-04:00,118.45,119.13,118.23,119.12,8176500,1.4695,118.39,118.94,BEARISH,121.86,192.73,1,2
2024-06-20 00:00:00-04:00,118.98,119.51,118.72,119.2,6350700,1.4716,118.5,118.83,BEARISH,121.94,192.86,1,2
2024-06-21 00:00:00-04:00,119.18,119.24,117.93,118.94,8231000,1.4115,118.57,118.73,BEARISH,121.69,192.45,1,1
2024-06-24 00:00:00-04:00,119.27,120.56,119.0,119.45,8650600,1.3089,118.66,118.65,BULLISH,122.2,193.27,3,1
2024-06-25 00:00:00-04:00,119.35,119.35,117.88,118.43,11365300,1.33,118.7,118.58,BULLISH,121.17,191.62,1,2
2024-06-26 00:00:00-04:00,118.28,118.29,117.64,118.11,7350500,1.2722,118.59,118.47,BULLISH,120.84,191.1,0,2
2024-06-27 00:00:00-04:00,118.23,118.46,117.81,118.24,4804100,1.224,118.57,118.44,BULLISH,120.97,191.31,1,2
2024-06-28 00:00:00-04:00,118.57,119.34,117.71,118.29,9796400,1.2326,118.69,118.49,BULLISH,121.02,191.39,2,1
2024-07-01 00:00:00-04:00,118.84,119.08,116.75,117.01,10008500,1.3444,118.53,118.44,BULLISH,119.73,189.33,1,1
2024-07-02 00:00:00-04:00,116.84,117.69,116.75,117.65,6789000,1.3447,118.37,118.36,BULLISH,120.38,190.36,1,2
2024-07-03 00:00:00-04:00,117.79,118.51,117.59,118.08,5467700,1.3235,118.25,118.36,BEARISH,120.81,191.06,2,2
2024-07-05 00:00:00-04:00,118.05,118.05,116.71,117.65,6367100,1.2996,118.1,118.36,BEARISH,120.38,190.36,2,1
2024-07-08 00:00:00-04:00,117.98,118.62,117.44,117.8,7405600,1.2681,117.92,118.3,BEARISH,120.53,190.6,3,1
2024-07-09 00:00:00-04:00,117.86,118.04,117.26,117.29,4617900,1.1758,117.79,118.26,BEARISH,120.01,189.77,1,2
2024-07-10 00:00:00-04:00,117.45,118.37,117.21,118.33,6930900,1.1947,117.82,118.26,BEARISH,121.07,191.46,2,2
2024-07-11 00:00:00-04:00,118.64,120.27,118.47,119.84,11113900,1.2663,117.99,118.32,BEARISH,122.59,193.9,2,2
2024-07-12 00:00:00-04:00,120.53,121.24,120.23,120.53,10565200,1.2444,118.24,118.43,BEARISH,123.29,195.01,1,1
2024-07-15 00:00:00-04:00,120.89,121.96,120.62,121.39,9680800,1.2292,118.73,118.54,BULLISH,124.16,196.41,2,1
2024-07-16 00:00:00-04:00,121.75,124.54,121.74,124.42,15501400,1.3235,119.48,118.83,BULLISH,127.22,201.31,3,2
2024-07-17 00:00:00-04:00,123.88,124.14,122.8,122.83,14511200,1.3727,120.01,119.1,BULLISH,125.61,198.73,1,2
2024-07-18 00:00:00-04:00,122.82,124.05,121.69,121.87,9267900,1.4947,120.48,119.26,BULLISH,124.64,197.18,1,2
