date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2024-01-29T00:00:00.000Z,491.27,CALL,0.6,CALL,0.65,4,UP,CALL,0.5957468240698471,66.0,CALL,0.65,1.62,4,0,0,ULTRA_4,CALL,4,491.27,482.96,503.0,510.82,522.55,0.62
2024-02-01T00:00:00.000Z,489.2,CALL,0.6,CALL,0.65,2,UP,CALL,0.6147298664656995,69.9,CALL,0.65,0.24,4,0,0,ULTRA_4,CALL,4,489.2,480.47,501.53,509.75,522.08,0.63
2024-02-23T00:00:00.000Z,507.85,CALL,0.6,CALL,0.65,2,UP,CALL,0.6108675378725257,65.1,CALL,0.65,1.16,4,0,0,ULTRA_4,CALL,4,507.85,497.95,521.83,531.15,545.13,0.63
2024-02-27T00:00:00.000Z,506.93,CALL,0.6,CALL,0.65,4,UP,CALL,0.5981869104664287,62.3,CALL,0.65,2.05,4,0,0,ULTRA_4,CALL,4,506.93,497.2,520.67,529.83,543.57,0.62
2024-03-12T00:00:00.000Z,516.78,CALL,0.6,CALL,0.65,4,UP,CALL,0.5975487065130565,62.6,CALL,0.65,1.89,4,0,0,ULTRA_4,CALL,4,516.78,506.35,531.51,541.33,556.06,0.62
2024-03-22T00:00:00.000Z,521.21,CALL,0.6,CALL,0.65,2,UP,CALL,0.5895259635023614,62.8,CALL,0.65,2.23,4,0,0,ULTRA_4,CALL,4,521.21,510.33,536.57,546.81,562.17,0.62
2024-03-26T00:00:00.000Z,518.81,CALL,0.6,CALL,0.65,4,UP,CALL,0.5853184362442958,61.5,CALL,0.65,0.6,4,0,0,ULTRA_4,CALL,4,518.81,509.08,532.55,541.71,555.45,0.62
2024-05-01T00:00:00.000Z,500.35,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.6049592546781033,37.3,PUT,0.65,-1.0,0,4,0,ULTRA_4,PUT,4,500.35,514.99,479.68,465.9,445.23,0.63
2024-06-06T00:00:00.000Z,534.66,CALL,0.6,CALL,0.65,4,UP,CALL,0.6003151532636455,69.7,CALL,0.65,2.31,4,0,0,ULTRA_4,CALL,4,534.66,524.76,548.64,557.96,571.94,0.63
2024-06-11T00:00:00.000Z,536.95,CALL,0.6,CALL,0.65,2,UP,CALL,0.5959621585456665,68.1,CALL,0.65,1.62,4,0,0,ULTRA_4,CALL,4,536.95,526.2,552.13,562.25,577.43,0.62
2024-06-13T00:00:00.000Z,542.45,CALL,0.6,CALL,0.65,4,UP,CALL,0.5858452943602008,65.3,CALL,0.65,1.46,4,0,0,ULTRA_4,CALL,4,542.45,531.89,557.36,567.3,582.21,0.62
