date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2024-01-24T00:00:00.000Z,485.39,CALL,0.6,CALL,0.65,2,UP,CALL,0.5872274291618114,64.3,CALL,0.65,2.77,4,0,0,ULTRA_4,CALL,4,485.39,476.32,498.2,506.74,519.55,0.62
2024-01-26T00:00:00.000Z,487.41,CALL,0.6,CALL,0.65,4,UP,CALL,0.5844343277234437,63.1,CALL,0.65,1.03,4,0,0,ULTRA_4,CALL,4,487.41,478.72,499.68,507.86,520.13,0.62
2024-02-22T00:00:00.000Z,507.5,CALL,0.6,CALL,0.65,2,UP,CALL,0.6179914432141955,66.3,CALL,0.65,1.79,4,0,0,ULTRA_4,CALL,4,507.5,497.02,522.29,532.15,546.94,0.63
2024-02-26T00:00:00.000Z,505.99,CALL,0.6,CALL,0.65,4,UP,CALL,0.6072794102746564,64.0,CALL,0.65,1.3,4,0,0,ULTRA_4,CALL,4,505.99,496.28,519.7,528.84,542.55,0.63
2024-03-04T00:00:00.000Z,512.3,CALL,0.6,CALL,0.65,4,UP,CALL,0.6042835604608439,67.2,CALL,0.65,1.25,4,0,0,ULTRA_4,CALL,4,512.3,502.4,526.28,535.6,549.58,0.63
2024-03-07T00:00:00.000Z,514.81,CALL,0.6,CALL,0.65,2,UP,CALL,0.6003790495526167,64.6,CALL,0.65,1.32,4,0,0,ULTRA_4,CALL,4,514.81,504.97,528.7,537.96,551.85,0.63
2024-03-18T00:00:00.000Z,512.86,CALL,0.6,CALL,0.65,4,UP,CALL,0.5903814701146262,62.2,CALL,0.65,0.31,4,0,0,ULTRA_4,CALL,4,512.86,502.28,527.8,537.76,552.7,0.62
2024-03-21T00:00:00.000Z,522.2,CALL,0.6,CALL,0.65,2,UP,CALL,0.5934041842923878,64.2,CALL,0.65,1.41,4,0,0,ULTRA_4,CALL,4,522.2,511.24,537.68,548.0,563.48,0.62
2024-03-25T00:00:00.000Z,519.77,CALL,0.6,CALL,0.65,4,UP,CALL,0.59087550874389,63.4,CALL,0.65,1.35,4,0,0,ULTRA_4,CALL,4,519.77,509.76,533.9,543.32,557.45,0.62
2024-04-30T00:00:00.000Z,501.98,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5984406358283769,38.6,PUT,0.65,-0.73,0,4,0,ULTRA_4,PUT,4,501.98,516.47,481.52,467.88,447.42,0.62
