date,close,A1_Confluence,A1_conf,A2_GannElliott,A2_conf,A2_wave,A2_trend,A3_DQN,A3_conf,A3_rsi,A4_3Wave,A4_conf,A4_mom5,call_votes,put_votes,hold_votes,confluence_level,majority,agreement_count,entry,stop,target1,target2,target3,avg_confidence
2023-08-18T00:00:00.000Z,436.5,PUT,0.75,CALL,0.65,3,UP,PUT,0.6023210329182016,33.1,PUT,0.65,-2.05,1,3,0,SUPER_3,PUT,3,436.5,446.22,421.92,412.2,397.62,0.67
2023-08-21T00:00:00.000Z,439.34,PUT,0.6,CALL,0.65,4,UP,PUT,0.5992624540808045,34.4,PUT,0.65,-1.96,1,3,0,SUPER_3,PUT,3,439.34,449.4,424.25,414.19,399.1,0.62
2023-08-22T00:00:00.000Z,438.15,PUT,0.6,CALL,0.65,5,UP,PUT,0.6074204789167854,31.8,PUT,0.65,-1.07,1,3,0,SUPER_3,PUT,3,438.15,447.71,423.81,414.25,399.91,0.62
2023-08-28T00:00:00.000Z,442.76,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5992429117106851,36.9,CALL,0.55,0.78,1,3,0,SUPER_3,PUT,3,442.76,453.75,427.55,417.41,402.2,0.62
2023-08-29T00:00:00.000Z,449.16,PUT,0.6,PUT,0.65,5,DOWN,PUT,0.5732683751394682,44.3,CALL,0.55,2.51,1,3,0,SUPER_3,PUT,3,449.16,460.58,433.35,422.81,407.0,0.61
2023-09-06T00:00:00.000Z,446.22,PUT,0.6,PUT,0.65,5,DOWN,HOLD,0.0,47.9,PUT,0.55,-0.65,0,3,1,SUPER_3,PUT,3,446.22,456.47,432.03,422.57,408.38,0.6
2023-09-14T00:00:00.000Z,450.36,CALL,0.6,PUT,0.65,1,DOWN,CALL,0.5868629349368922,60.7,CALL,0.55,1.24,3,1,0,SUPER_3,CALL,3,450.36,442.74,461.79,469.41,480.84,0.58
2023-09-15T00:00:00.000Z,443.37,PUT,0.75,PUT,0.65,2,DOWN,CALL,0.5750113662418892,56.8,PUT,0.65,-0.48,1,3,0,SUPER_3,PUT,3,443.37,451.8,431.7,423.92,412.25,0.68
2023-09-19T00:00:00.000Z,442.71,PUT,0.6,PUT,0.65,4,DOWN,HOLD,0.0,53.5,PUT,0.65,-0.74,0,3,1,SUPER_3,PUT,3,442.71,450.47,431.97,424.81,414.07,0.63
2023-09-21T00:00:00.000Z,431.39,PUT,0.6,HOLD,0.0,1,DOWN,PUT,0.5889274557153545,40.1,PUT,0.65,-4.21,0,3,1,SUPER_3,PUT,3,431.39,439.69,418.94,410.64,398.19,0.61
2023-09-25T00:00:00.000Z,432.23,PUT,0.6,HOLD,0.0,3,DOWN,PUT,0.5757785657307832,42.6,PUT,0.65,-2.57,0,3,1,SUPER_3,PUT,3,432.23,440.75,419.45,410.93,398.15,0.61
2023-09-29T00:00:00.000Z,427.48,PUT,0.6,PUT,0.65,2,DOWN,CALL,0.6,27.2,PUT,0.65,-0.68,1,3,0,SUPER_3,PUT,3,427.48,438.14,412.72,402.88,388.12,0.63
2023-10-03T00:00:00.000Z,421.59,PUT,0.6,PUT,0.65,4,DOWN,CALL,0.6,23.9,PUT,0.65,-1.01,1,3,0,SUPER_3,PUT,3,421.59,433.12,405.63,394.99,379.03,0.63
2023-10-05T00:00:00.000Z,424.5,PUT,0.6,HOLD,0.0,1,DOWN,PUT,0.619282033073638,30.5,PUT,0.65,-0.94,0,3,1,SUPER_3,PUT,3,424.5,434.72,409.17,398.95,383.62,0.62
2023-10-06T00:00:00.000Z,429.54,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.6037320342849881,36.1,HOLD,0.0,0.48,0,3,1,SUPER_3,PUT,3,429.54,441.87,412.47,401.09,384.02,0.62
2023-10-10T00:00:00.000Z,434.54,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5879580136497979,40.1,CALL,0.55,3.07,1,3,0,SUPER_3,PUT,3,434.54,447.02,417.26,405.74,388.46,0.61
2023-10-13T00:00:00.000Z,431.5,PUT,0.6,PUT,0.65,2,DOWN,PUT,0.5898307245391221,38.8,HOLD,0.0,0.46,0,3,1,SUPER_3,PUT,3,431.5,444.15,413.98,402.3,384.78,0.61
2023-10-17T00:00:00.000Z,436.02,PUT,0.6,PUT,0.65,4,DOWN,PUT,0.5718862964328943,44.2,HOLD,0.0,0.34,0,3,1,SUPER_3,PUT,3,436.02,448.48,418.77,407.27,390.02,0.61
2023-10-18T00:00:00.000Z,430.21,PUT,0.6,HOLD,0.0,5,DOWN,PUT,0.5780838459483842,42.8,PUT,0.55,-1.4,0,3,1,SUPER_3,PUT,3,430.21,441.93,412.63,400.91,383.33,0.58
2023-10-19T00:00:00.000Z,426.43,PUT,0.6,HOLD,0.0,1,DOWN,PUT,0.5664709153263372,45.5,PUT,0.55,-1.67,0,3,1,SUPER_3,PUT,3,426.43,438.31,408.61,396.73,378.91,0.57
2023-10-23T00:00:00.000Z,420.46,PUT,0.6,HOLD,0.0,3,DOWN,PUT,0.5904377654932917,39.6,PUT,0.65,-3.57,0,3,1,SUPER_3,PUT,3,420.46,432.46,402.46,390.46,372.46,0.61
2023-10-24T00:00:00.000Z,423.63,PUT,0.6,PUT,0.65,4,DOWN,HOLD,0.0,48.1,PUT,0.65,-2.84,0,3,1,SUPER_3,PUT,3,423.63,436.54,405.75,393.83,375.95,0.63
2023-10-25T00:00:00.000Z,417.55,PUT,0.6,HOLD,0.0,5,DOWN,PUT,0.5792188250973884,42.9,PUT,0.65,-2.94,0,3,1,SUPER_3,PUT,3,417.55,429.81,399.16,386.9,368.51,0.61
2023-10-26T00:00:00.000Z,412.55,PUT,0.6,HOLD,0.0,1,DOWN,PUT,0.6058769082476958,37.0,PUT,0.65,-3.25,0,3,1,SUPER_3,PUT,3,412.55,424.15,395.15,383.55,366.15,0.62
2023-10-30T00:00:00.000Z,415.59,PUT,0.6,HOLD,0.0,3,DOWN,PUT,0.5905054571326391,41.4,PUT,0.65,-1.16,0,3,1,SUPER_3,PUT,3,415.59,427.29,398.04,386.34,368.79,0.61
2023-10-31T00:00:00.000Z,418.2,PUT,0.6,PUT,0.65,4,DOWN,HOLD,0.0,47.5,PUT,0.65,-1.28,0,3,1,SUPER_3,PUT,3,418.2,431.0,400.47,388.65,370.92,0.63
2023-11-13T00:00:00.000Z,440.19,CALL,0.75,PUT,0.65,3,DOWN,CALL,0.5656322893390322,53.2,CALL,0.65,1.03,3,1,0,SUPER_3,CALL,3,440.19,430.01,455.46,465.64,480.91,0.66
2023-11-14T00:00:00.000Z,448.73,CALL,0.6,PUT,0.65,4,DOWN,CALL,0.5948021603589644,58.2,CALL,0.65,2.7,3,1,0,SUPER_3,CALL,3,448.73,438.09,464.69,475.33,491.29,0.61
2023-11-15T00:00:00.000Z,449.68,CALL,0.6,PUT,0.65,5,DOWN,CALL,0.6179654046033639,63.3,CALL,0.65,2.84,3,1,0,SUPER_3,CALL,3,449.68,439.52,464.92,475.08,490.32,0.62
2023-11-16T00:00:00.000Z,450.23,CALL,0.6,PUT,0.65,1,DOWN,CALL,0.6329796525260662,67.0,CALL,0.65,3.78,3,1,0,SUPER_3,CALL,3,450.23,440.49,464.84,474.58,489.19,0.63
2023-11-21T00:00:00.000Z,453.27,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,72.5,CALL,0.65,1.01,3,1,0,SUPER_3,CALL,3,453.27,443.74,466.47,475.27,488.47,0.63
2023-11-27T00:00:00.000Z,454.48,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,90.0,CALL,0.65,0.82,3,1,0,SUPER_3,CALL,3,454.48,446.64,465.34,472.58,483.44,0.63
2023-11-29T00:00:00.000Z,454.61,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,87.9,CALL,0.65,0.3,3,1,0,SUPER_3,CALL,3,454.61,446.68,465.59,472.91,483.89,0.63
2023-12-04T00:00:00.000Z,456.69,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,78.6,CALL,0.65,0.49,3,1,0,SUPER_3,CALL,3,456.69,449.13,467.16,474.14,484.61,0.63
2023-12-11T00:00:00.000Z,461.99,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,80.6,CALL,0.65,1.16,3,1,0,SUPER_3,CALL,3,461.99,455.06,471.59,477.99,487.59,0.63
2023-12-13T00:00:00.000Z,470.5,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,81.4,CALL,0.65,3.46,3,1,0,SUPER_3,CALL,3,470.5,462.81,481.15,488.25,498.9,0.63
2023-12-18T00:00:00.000Z,471.97,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,76.9,CALL,0.65,2.16,3,1,0,SUPER_3,CALL,3,471.97,463.09,484.27,492.47,504.77,0.63
2023-12-20T00:00:00.000Z,468.26,CALL,0.6,CALL,0.65,4,UP,CALL,0.5993434002152114,67.1,HOLD,0.0,-0.48,3,0,1,SUPER_3,CALL,3,468.26,458.84,481.31,490.01,503.06,0.62
2023-12-22T00:00:00.000Z,473.65,CALL,0.6,HOLD,0.0,1,UP,CALL,0.6098665782505819,69.4,CALL,0.65,0.92,3,0,1,SUPER_3,CALL,3,473.65,465.07,486.52,495.1,507.97,0.62
2023-12-26T00:00:00.000Z,475.65,CALL,0.6,CALL,0.65,2,UP,PUT,0.6,71.8,CALL,0.65,0.78,3,1,0,SUPER_3,CALL,3,475.65,466.33,488.55,497.15,510.05,0.63
2023-12-28T00:00:00.000Z,476.69,CALL,0.6,CALL,0.65,4,UP,PUT,0.6,72.6,CALL,0.65,1.8,3,1,0,SUPER_3,CALL,3,476.69,468.24,488.39,496.19,507.89,0.63
2023-12-29T00:00:00.000Z,475.31,CALL,0.6,HOLD,0.0,5,UP,CALL,0.6115018699233756,69.6,CALL,0.65,0.55,3,0,1,SUPER_3,CALL,3,475.31,467.47,487.07,494.91,506.67,0.62
2024-01-03T00:00:00.000Z,468.79,CALL,0.6,CALL,0.65,2,UP,CALL,0.5898575756994857,62.4,PUT,0.55,-1.44,3,1,0,SUPER_3,CALL,3,468.79,459.84,481.18,489.44,501.83,0.61
2024-01-05T00:00:00.000Z,467.92,CALL,0.6,CALL,0.65,4,UP,CALL,0.5934207141166035,63.4,PUT,0.55,-1.84,3,1,0,SUPER_3,CALL,3,467.92,459.47,479.62,487.42,499.12,0.61
2024-01-09T00:00:00.000Z,473.88,CALL,0.6,HOLD,0.0,1,UP,CALL,0.5946647062198895,63.3,CALL,0.65,0.26,3,0,1,SUPER_3,CALL,3,473.88,465.78,486.03,494.13,506.28,0.61
2024-01-11T00:00:00.000Z,476.35,CALL,0.6,HOLD,0.0,3,UP,CALL,0.5898016619858211,62.1,CALL,0.55,1.94,3,0,1,SUPER_3,CALL,3,476.35,468.47,488.17,496.05,507.87,0.58
2024-01-19T00:00:00.000Z,482.43,CALL,0.6,HOLD,0.0,3,UP,CALL,0.5744930456426607,57.7,CALL,0.65,1.28,3,0,1,SUPER_3,CALL,3,482.43,473.31,496.11,505.23,518.91,0.61
2024-01-23T00:00:00.000Z,484.86,CALL,0.6,HOLD,0.0,5,UP,CALL,0.5886023775994453,64.6,CALL,0.65,2.09,3,0,1,SUPER_3,CALL,3,484.86,476.24,497.79,506.41,519.34,0.61
